id,class_cvp,class_2025,stable_20_,n_matches
630,1,15,15,668
631,1,15,15,670
632,1,15,15,677
633,1,15,15,691
634,1,15,15,674
635,1,15,15,661
636,1,15,15,186
637,1,15,15,663
638,1,4,4,679
639,1,15,15,665
640,1,15,15,689
641,1,15,15,641
642,1,15,15,371
643,1,15,15,667
644,1,15,15,654
645,1,15,15,676
646,1,15,15,655
647,1,15,15,586
648,1,15,15,629
649,1,15,15,655
650,1,15,15,500
651,1,15,15,401
652,1,15,15,667
653,1,15,15,684
654,1,15,15,688
655,1,15,15,588
656,1,15,15,685
657,1,15,15,645
658,1,15,15,675
659,1,15,15,667
660,1,15,15,635
661,1,15,15,683
662,1,15,15,671
663,1,15,15,656
664,1,15,15,274
665,1,15,15,678
666,1,15,15,668
667,1,15,15,537
668,1,15,15,687
669,1,15,15,620
670,1,15,4,594
671,1,15,15,671
672,1,15,15,666
673,1,15,15,686
674,1,15,15,679
675,1,15,15,564
676,1,15,15,686
677,1,15,15,603
678,1,15,15,111
679,1,15,15,638
680,1,15,15,260
681,1,15,15,614
682,1,15,15,603
683,1,15,15,638
684,1,15,15,668
685,1,15,15,676
686,1,15,15,636
687,1,15,15,648
688,1,15,15,695
689,1,15,15,649
690,1,15,15,660
691,1,15,15,688
692,1,15,15,626
693,1,4,4,673
694,1,15,15,681
695,1,15,15,678
696,1,15,15,478
697,1,15,15,645
698,1,15,15,490
699,1,15,15,687
700,1,3,3,638
701,1,15,15,656
702,1,4,4,679
703,1,15,15,664
704,1,15,15,342
705,1,15,15,584
706,1,15,15,688
707,1,15,15,668
708,1,15,15,478
709,1,15,15,563
710,1,15,15,668
711,1,15,15,666
712,1,15,15,300
713,1,15,15,681
714,1,15,15,590
715,1,15,15,577
716,1,15,15,672
717,1,15,15,659
718,1,15,15,598
719,1,15,15,685
720,1,15,15,607
721,1,21,15,661
722,1,15,15,653
723,1,15,15,666
724,1,15,15,667
725,1,15,15,683
726,1,15,15,477
727,1,4,4,611
728,1,15,15,522
729,1,15,15,658
730,1,15,15,425
731,1,15,15,619
732,1,15,15,680
733,1,15,15,651
734,1,15,15,668
735,1,15,15,691
736,1,3,3,69
737,1,15,15,677
738,1,15,15,680
739,1,15,15,621
740,1,15,15,670
741,1,15,15,687
742,1,15,15,43
743,1,15,15,651
744,1,15,15,676
745,1,15,15,682
746,1,15,15,687
747,1,15,15,662
748,1,15,41,605
749,1,15,15,689
750,1,15,15,152
751,1,15,15,680
752,1,15,15,620
753,1,15,15,680
754,1,15,15,661
755,1,15,15,227
756,1,15,15,680
757,1,15,15,297
758,1,15,15,39
759,1,15,15,647
760,1,15,15,683
761,1,15,15,599
762,1,15,15,608
763,1,15,15,683
764,1,15,15,600
765,1,15,15,681
766,1,15,15,584
767,1,15,15,655
768,1,15,15,52
769,1,15,15,453
770,1,15,15,633
771,1,15,15,675
772,1,4,4,688
773,1,15,15,683
774,1,15,15,316
775,1,15,15,670
776,1,15,15,672
777,1,15,15,606
778,1,15,15,668
779,1,21,15,615
780,1,15,15,682
781,1,15,15,672
782,1,15,15,198
783,1,21,15,164
784,1,15,15,679
785,1,15,15,676
786,1,15,15,675
787,1,15,15,567
788,1,15,15,685
789,1,15,15,683
790,1,39,39,605
791,1,15,15,658
792,1,15,15,683
793,1,15,15,684
794,1,21,15,23
795,1,15,15,665
796,1,15,15,681
797,1,15,15,677
798,1,15,15,683
799,1,15,15,672
800,1,15,15,666
801,1,15,15,639
802,1,4,4,669
803,1,15,15,646
804,1,15,15,668
805,1,4,4,652
806,1,15,15,685
807,1,15,15,661
808,1,15,15,627
809,1,15,15,620
810,1,15,15,607
811,1,15,15,463
812,1,15,15,653
813,1,15,15,663
814,1,15,15,633
815,1,15,15,678
816,1,15,15,674
817,1,15,15,636
818,1,15,15,661
819,1,15,15,672
820,1,15,15,578
821,1,15,15,672
822,1,15,15,680
823,1,15,15,292
824,1,12,12,657
825,1,15,15,665
826,1,15,15,680
827,1,15,15,660
828,1,15,15,664
829,1,15,15,631
830,1,15,15,657
831,1,15,15,683
832,1,15,15,674
833,1,15,15,661
834,1,15,15,674
835,1,15,15,683
836,1,15,15,606
837,1,15,15,399
838,1,15,15,674
839,1,21,15,366
840,1,15,15,668
841,1,15,15,657
842,1,15,15,664
843,1,15,15,653
844,1,15,15,192
845,1,15,15,617
846,1,15,15,652
847,1,15,15,611
848,1,15,15,670
849,1,15,15,687
850,1,15,15,686
851,1,15,15,658
852,1,15,15,683
853,1,41,41,683
854,1,15,15,669
855,1,15,15,680
856,1,15,15,639
857,1,15,15,628
858,1,15,15,376
859,1,15,15,640
860,1,15,15,670
861,1,15,15,491
862,1,15,15,683
863,1,15,15,677
864,1,15,15,267
865,1,15,15,688
866,1,15,15,693
867,1,15,15,299
868,1,15,15,616
869,1,15,15,663
870,1,15,15,679
871,1,15,15,658
872,1,15,15,682
873,1,15,15,683
874,1,15,15,535
875,1,15,15,688
876,1,15,15,649
877,1,21,15,198
878,1,15,15,679
879,1,15,15,684
880,1,15,15,643
881,1,15,15,688
882,1,15,15,552
883,1,15,15,680
884,1,15,15,607
885,1,15,15,680
886,1,15,15,648
887,1,15,15,376
888,1,15,15,634
889,1,15,15,555
890,1,15,15,676
891,1,15,15,342
892,1,15,15,657
893,1,15,15,662
894,1,15,15,676
895,1,15,15,668
896,1,15,15,685
897,1,15,15,695
898,1,15,15,677
899,1,15,15,663
900,1,15,15,393
901,1,15,15,654
902,1,15,15,679
903,1,15,15,188
904,1,15,15,497
905,1,15,15,674
906,1,15,15,662
907,1,15,15,684
908,1,15,15,290
909,1,15,15,677
910,1,15,15,673
911,1,15,15,684
912,1,15,15,677
913,1,41,41,543
914,1,15,15,637
915,1,15,15,679
916,1,15,15,628
917,1,15,15,671
918,1,15,15,687
919,1,15,15,563
920,1,15,15,685
921,1,4,4,657
922,1,15,15,652
923,1,15,15,686
924,1,15,15,355
925,1,15,15,654
926,1,15,15,655
927,1,15,15,669
928,1,15,15,668
929,1,15,15,656
930,1,15,15,621
931,1,15,15,676
932,1,15,15,684
933,1,15,15,665
934,1,15,15,676
935,1,15,15,688
936,1,21,15,647
937,1,15,15,683
938,1,15,15,681
939,1,15,4,672
940,1,15,4,640
941,1,15,12,451
942,1,15,15,677
943,1,15,15,657
944,1,15,15,652
945,1,4,15,655
946,1,15,15,525
947,1,15,15,298
948,1,15,15,202
949,1,15,15,687
950,1,15,15,633
951,1,41,41,637
952,1,15,15,681
953,1,15,15,653
954,1,15,15,665
955,1,15,15,686
956,1,15,15,666
957,1,15,15,544
958,1,15,15,642
959,1,15,15,688
960,1,15,15,663
961,1,15,15,687
962,1,15,15,556
963,1,15,15,58
964,1,15,15,451
965,1,15,15,669
966,1,15,15,683
967,1,15,15,343
968,1,15,15,593
969,1,15,15,585
970,1,15,4,621
971,1,15,15,653
972,1,15,15,676
973,1,15,15,682
974,1,15,15,629
975,1,15,15,683
976,1,15,15,530
977,1,15,15,680
978,1,15,15,660
979,1,15,15,676
980,1,15,15,573
981,1,15,15,655
982,1,15,15,523
983,1,15,15,151
984,1,15,15,511
985,1,15,15,422
986,1,15,15,651
987,1,4,4,594
988,1,15,15,624
989,1,15,15,651
990,1,15,15,656
991,1,15,15,684
992,1,15,15,682
993,1,15,15,549
994,1,15,15,667
995,1,15,15,666
996,1,15,15,224
