id,class_cvp,class_2025,stable_20_,n_matches
788,1,15,15,702
789,1,15,15,702
790,1,39,39,702
791,1,15,15,702
792,1,15,15,702
793,1,15,15,702
794,1,21,15,702
795,1,15,15,702
796,1,15,15,702
797,1,15,15,702
798,1,15,15,702
799,1,15,15,702
800,1,15,15,702
801,1,15,15,702
802,1,4,4,702
803,1,15,15,702
804,1,15,15,702
805,1,4,4,702
806,1,15,15,702
807,1,15,15,702
808,1,15,15,702
809,1,15,15,702
810,1,15,15,702
811,1,15,15,702
812,1,15,15,702
813,1,15,15,702
814,1,15,15,702
815,1,15,15,702
816,1,15,15,702
817,1,15,15,702
818,1,15,15,702
819,1,15,15,702
820,1,15,15,702
821,1,15,15,702
822,1,15,15,702
823,1,15,15,702
824,1,12,12,702
825,1,15,15,702
826,1,15,15,702
827,1,15,15,702
828,1,15,15,702
829,1,15,15,702
830,1,15,15,702
831,1,15,15,702
832,1,15,15,702
833,1,15,15,702
834,1,15,15,702
835,1,15,15,702
836,1,15,15,702
837,1,15,15,702
838,1,15,15,702
839,1,21,15,702
840,1,15,15,702
841,1,15,15,702
842,1,15,15,702
843,1,15,15,702
844,1,15,15,702
845,1,15,15,702
846,1,15,15,702
847,1,15,15,702
848,1,15,15,702
849,1,15,15,702
850,1,15,15,702
851,1,15,15,702
852,1,15,15,702
853,1,41,41,702
854,1,15,15,702
855,1,15,15,702
856,1,15,15,702
857,1,15,15,702
858,1,15,15,702
859,1,15,15,702
860,1,15,15,702
861,1,15,15,702
862,1,15,15,702
863,1,15,15,702
864,1,15,15,702
865,1,15,15,702
866,1,15,15,702
867,1,15,15,702
868,1,15,15,702
869,1,15,15,702
870,1,15,15,702
871,1,15,15,702
872,1,15,15,702
873,1,15,15,702
874,1,15,15,702
875,1,15,15,702
876,1,15,15,702
877,1,21,15,702
878,1,15,15,702
879,1,15,15,702
880,1,15,15,702
881,1,15,15,702
882,1,15,15,702
883,1,15,15,702
884,1,15,15,702
885,1,15,15,702
886,1,15,15,702
887,1,15,15,702
888,1,15,15,702
889,1,15,15,702
890,1,15,15,702
891,1,15,15,702
892,1,15,15,702
893,1,15,15,702
894,1,15,15,702
895,1,15,15,702
896,1,15,15,702
897,1,15,15,702
898,1,15,15,702
899,1,15,15,702
900,1,15,15,702
901,1,15,15,702
902,1,15,15,702
903,1,15,15,702
904,1,15,15,702
905,1,15,15,702
906,1,15,15,702
907,1,15,15,702
908,1,15,15,702
909,1,15,15,702
910,1,15,15,702
911,1,15,15,702
912,1,15,15,702
913,1,41,41,702
914,1,15,15,702
915,1,15,15,702
916,1,15,15,702
917,1,15,15,702
918,1,15,15,702
919,1,15,15,702
920,1,15,15,702
921,1,4,4,702
922,1,15,15,702
923,1,15,15,702
924,1,15,15,702
925,1,15,15,702
926,1,15,15,702
927,1,15,15,702
928,1,15,15,702
929,1,15,15,702
930,1,15,15,702
931,1,15,15,702
932,1,15,15,702
933,1,15,15,702
934,1,15,15,702
935,1,15,15,702
936,1,21,15,702
937,1,15,15,702
938,1,15,15,702
939,1,15,4,702
940,1,15,4,702
941,1,15,12,702
942,1,15,15,702
943,1,15,15,702
944,1,15,15,702
945,1,4,15,702
946,1,15,15,702
947,1,15,15,702
948,1,15,15,702
949,1,15,15,702
950,1,15,15,702
951,1,41,41,702
952,1,15,15,702
953,1,15,15,702
954,1,15,15,702
955,1,15,15,702
956,1,15,15,702
957,1,15,15,702
958,1,15,15,702
959,1,15,15,702
960,1,15,15,702
961,1,15,15,702
962,1,15,15,702
963,1,15,15,702
964,1,15,15,702
965,1,15,15,702
966,1,15,15,702
967,1,15,15,702
968,1,15,15,702
969,1,15,15,702
970,1,15,4,702
971,1,15,15,702
972,1,15,15,702
973,1,15,15,702
974,1,15,15,702
975,1,15,15,702
976,1,15,15,702
977,1,15,15,702
978,1,15,15,702
979,1,15,15,702
980,1,15,15,702
981,1,15,15,702
982,1,15,15,702
983,1,15,15,702
984,1,15,15,702
985,1,15,15,702
986,1,15,15,702
987,1,4,4,702
988,1,15,15,702
989,1,15,15,702
990,1,15,15,702
991,1,15,15,702
992,1,15,15,702
993,1,15,15,702
994,1,15,15,702
995,1,15,15,702
996,1,15,15,702
997,1,15,15,702
998,1,15,15,702
999,1,15,15,702
1000,1,15,15,702
1001,1,15,15,702
1002,1,12,12,702
1003,1,15,15,702
1004,1,15,15,702
1005,1,15,4,702
1006,1,15,15,702
1007,1,21,15,702
1008,1,15,15,702
1009,1,4,4,702
1010,1,15,15,702
1011,1,15,15,702
1012,1,15,15,702
1013,1,15,15,702
1014,1,15,15,702
1015,1,15,15,702
1016,1,15,15,702
1017,1,15,15,702
1018,1,15,15,702
1019,1,15,15,702
1020,1,15,4,702
1021,1,15,15,702
1022,1,15,15,702
1023,1,4,4,702
1024,1,15,15,702
1025,1,15,15,702
1026,1,15,15,702
1027,1,15,15,702
1028,1,41,41,702
