id,class_cvp,class_2025,stable_20_,n_matches_sem_limiar,max_similaridade,melhor_TARGET_FID
757,1,15,15,702,2025.0,year
758,1,15,15,702,2025.0,year
759,1,15,15,702,2025.0,year
760,1,15,15,702,2025.0,year
761,1,15,15,702,2025.0,year
762,1,15,15,702,2025.0,year
763,1,15,15,702,2025.0,year
764,1,15,15,702,2025.0,year
765,1,15,15,702,2025.0,year
766,1,15,15,702,2025.0,year
767,1,15,15,702,2025.0,year
768,1,15,15,702,2025.0,year
769,1,15,15,702,2025.0,year
770,1,15,15,702,2025.0,year
771,1,15,15,702,2025.0,year
772,1,4,4,702,2025.0,year
773,1,15,15,702,2025.0,year
774,1,15,15,702,2025.0,year
775,1,15,15,702,2025.0,year
776,1,15,15,702,2025.0,year
777,1,15,15,702,2025.0,year
778,1,15,15,702,2025.0,year
779,1,21,15,702,2025.0,year
780,1,15,15,702,2025.0,year
781,1,15,15,702,2025.0,year
782,1,15,15,702,2025.0,year
783,1,21,15,702,2025.0,year
784,1,15,15,702,2025.0,year
785,1,15,15,702,2025.0,year
786,1,15,15,702,2025.0,year
787,1,15,15,702,2025.0,year
788,1,15,15,702,2025.0,year
789,1,15,15,702,2025.0,year
790,1,39,39,702,2025.0,year
791,1,15,15,702,2025.0,year
792,1,15,15,702,2025.0,year
793,1,15,15,702,2025.0,year
794,1,21,15,702,2025.0,year
795,1,15,15,702,2025.0,year
796,1,15,15,702,2025.0,year
797,1,15,15,702,2025.0,year
798,1,15,15,702,2025.0,year
799,1,15,15,702,2025.0,year
800,1,15,15,702,2025.0,year
801,1,15,15,702,2025.0,year
802,1,4,4,702,2025.0,year
803,1,15,15,702,2025.0,year
804,1,15,15,702,2025.0,year
805,1,4,4,702,2025.0,year
806,1,15,15,702,2025.0,year
807,1,15,15,702,2025.0,year
808,1,15,15,702,2025.0,year
809,1,15,15,702,2025.0,year
810,1,15,15,702,2025.0,year
811,1,15,15,702,2025.0,year
812,1,15,15,702,2025.0,year
813,1,15,15,702,2025.0,year
